	Time (px)	 Total Intensity Cell 	 Average Intensity Cell  	 AreaCell 	 Total Intensity Cloud 	 Mean Intensity Cloud  	 AreaCloud 
	1		3,724,632		279.145				13,343		0				0				0
	2		3,696,172		281.635				13,124		0				0				0
	3		3,695,357		279.169				13,237		0				0				0
	4		3,599,159		275.207				13,078		0				0				0
	5		3,894,386		267.803				14,542		0				0				0
	6		3,718,537		269.128				13,817		0				0				0
	8		3,962,884		269.145				14,724		0				0				0
	9		3,694,602		267.705				13,801		0				0				0
	10		3,741,886		263.087				14,223		0				0				0
	11		4,020,385		269.806				14,901		0				0				0
	12		3,858,573		266.863				14,459		112,318				294.026				382
	13		3,862,698		261.736				14,758		38,204				248.078				154
	16		3,791,267		261.611				14,492		368,897				283.114				1,303
	18		3,754,680		261.45				14,361		416,173				287.214				1,449
	19		3,874,775		263.859				14,685		308,172				289.092				1,066
	20		3,989,496		264.45				15,086		273,210				291.269				938
	22		3,766,290		262.899				14,326		379,172				292.571				1,296
	24		6,831,137		255.522				26,734		928,225				272.287				3,409
	26		3,477,979		250.846				13,865		339,473				264.181				1,285
	27		3,749,625		263.557				14,227		245,166				264.758				926
	28		3,867,272		260.738				14,832		187,671				278.444				674
	29		3,690,649		261.137				14,133		315,575				276.094				1,143
	30		3,376,386		245.663				13,744		319,426				256.773				1,244
	31		3,589,747		256.374				14,002		653,143				271.351				2,407
	32		3,587,808		256.437				13,991		595,442				276.821				2,151
	33		3,376,973		244.124				13,833		252,658				274.033				922
	36		3,509,405		256.761				13,668		519,085				258.766				2,006
	37		3,374,309		257.404				13,109		620,206				262.022				2,367
